127.0.0.1 - - [19/Aug/2017:13:02:29 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Aug/2017:13:02:40 +0800] "GET /testweb/showplan.jsp HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [19/Aug/2017:13:02:40 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [19/Aug/2017:13:02:45 +0800] "GET /testweb/showplan.jsp HTTP/1.1" 200 31044
0:0:0:0:0:0:0:1 - - [19/Aug/2017:13:02:45 +0800] "GET /testweb/showplan.jsp HTTP/1.1" 200 31044
0:0:0:0:0:0:0:1 - - [19/Aug/2017:13:04:46 +0800] "GET /testweb/showplan.jsp HTTP/1.1" 200 31175
0:0:0:0:0:0:0:1 - - [19/Aug/2017:13:04:46 +0800] "GET /testweb/showplan.jsp HTTP/1.1" 200 31175
0:0:0:0:0:0:0:1 - - [19/Aug/2017:13:08:13 +0800] "GET /testweb/showplan.jsp HTTP/1.1" 200 31175
0:0:0:0:0:0:0:1 - - [19/Aug/2017:13:08:13 +0800] "GET /testweb/showplan.jsp HTTP/1.1" 200 31175
